No.,Mitra,Judul Kerjasama,Dasar Hukum Mitra,Dasar Hukum RS,Tanggal Mulai ,Tanggal Selesai,Reminder 3 Bulan,Keterangan Kerjasama,ID Acara Kalender,Email Mitra,
1,"Dinkes, Pengendalian Penduduk dan KB Kota Madiun",Pelayanan Kesehatan Tingkat Lanjutan (Rujukan),"440/1,384/401,103/2021","445/53,812/303/2021",01 Januari 2022,31 Desember 2024,30 September 2024,Tidak Diperpanjang,ssc08stp8ke80fp449o3ssv6eo@google.com,dinkes.madiunkota@gmail.com,URL
2,UPT Rehabilitasi Sosial Bina Karya Madiun,Pemakaian Ambulance untuk Penjemputan dan Pemulangan Pasien dengan Gangguan Jiwa di RSUD dr. Soedono Provionsi Jawa Timur,"462,1/58/107,6,27/2023","445/13,298/102,9/2023",01 Maret 2023,28 Februari 2025,28 November 2024,Tidak Diperpanjang,mi7n76fue8m3sl20ufo1bn6de0@google.com,tidak ada email,
3,PT Asuransi Ramayana Tbk,Pemberian Pelayanan Kesehatan bagi Peserta PT Asuransi Ramayana Tbk,348/DIR-PKS/III/2023,"445/28,005/102.9/2023",01 Maret 2023,28 Februari 2025,28 November 2024,Tidak Diperpanjang,tp3d3d0kne7eesc4e2nu0qi6so@google.com,info@asuransiramayana.co.id,
4,PT Media Dokter Investama,Layanan Kesehatan,896/MDI-FF/V/2022,445/18.553/102.9/2022,26 April 2022,25 April 2025,25 Januari 2025,Proses Oleh TU,kg61drsf7jdcl0tlgd7hsbr6u4@google.com,tidak ada email,
5,PT Asuransi Ramayana Tbk,Pemberian Pelayanan Kesehatan bagi Peserta ASKES dan CoB BPJS,415/DIR-PKS/IX/2023,"445/          /102,9/2023",01 Agustus 2023,31 Juli 2025,30 April 2025,Tidak Diperpanjang,lepm4hq8fu0qsio5l31iq7lfm0@google.com,info@asuransiramayana.co.id,
6,UPTD Puskesmas Maospati,Pelayanan Kesehatan Rujukan Lanjutan,445/1327/403.103.16/2022,445/30.331/102.9/2022,01 Agustus 2022,31 Juli 2025,30 April 2025,Tidak Diperpanjang,ts4fsvd0s89thttp9nm9s47vhc@google.com,tidak ada email,
7,Klinik Dokter Indah,Sistem Rujukan Pelayanan Kesehatan,"
100,3,7,1/35,766102,9/2023",005/CPR-KDI/PKS/IX/2023,11 September 2023,17 September 2025,17 Juni 2025,Proses Oleh TU,duj9cshea17jhv7gtch80sdgko@google.com,tidak ada email,
8,RSUD Kota Madiun,Penyelenggaraan Perbekalan Farmasi Dengan Pinjam Pakai Guna Mengatasi Kedaruratan,445/46.158/102.9/2022,445/175/401.103.8/2022,01 Oktober 2022,30 September 2025,30 Juni 2025,Berjalan,sebn732it4o8h8pgjl7jcrrvl4@google.com,rsudkotamadiun@gmail.com,belum ada scan PKS
9,RSUD Dr. Soetomo Surabaya,Pelayanan Rujukan,"116/14129,2/102,6/2022",445/55.108/102.9/2022,01 Oktober 2022,30 September 2025,30 Juni 2025,Perlu Proses Perpanjangan,5qg78lpaslom4kj7auletdfcmk@google.com,yanmedrsds16@gmail.com,
10,RS Widodo Ngawi,Pelayanan Kesehatan Rujukan,180/MOU.RSW/XII/2022,445/66.775/102.9/2022,25 Oktober 2022,24 Oktober 2025,24 Juli 2025,Perlu Proses Perpanjangan,cv198u85j9k587pcmrk88sb9ro@google.com,humasrswidodo557@gmail.com,
11,PT Pertamina (Persero) 4 Entitas,Pelayanan Kesehatan,101/PND8D0000/2024-S0,100.3.7.1/30.690/102.9/2023,01 November 2023,31 Oktober 2025,31 Juli 2025,Perlu Proses Perpanjangan,pjai14q4ceohgdv6jv3imk2lr8@google.com,tidak ada email,
12,RSUD dr. Sayidiman Magetan,Pelayanan Rujukan,445/4104.1/403.300/2022,445/69.866/102.9/2022,01 Desember 2022,30 November 2025,30 Agustus 2025,Perlu Proses Perpanjangan,ngmgl6bjpn6r7h2l1knap03dk4@google.com,rsud@magetan.go.id,
