Column 1,Mitra 1,Mitra 2,Judul Kerjasama,Dasar Hukum Mitra 1,Dasar Hukum Mitra 2,Dasar Hukum RS,Tanggal Mulai ,Tanggal Selesai,Reminder 3 Bulan,Keterangan Kerjasama,ID Acara Kalender,Email Mitra,URL,
1,RS Kanker Dharmais ,PT Sansico Natura Resources,Pinjam Pakai Alat Slide Scanner,HK.03.01/D.XII/48/2024,003/PKS/PPA/SNR-RSO-RSUDMD/1/2024,100.3.7.1/2091/102.9/2024,1 Januari 2024,30 Juni 2024,30 Maret 2024,Tidak Diperpanjang,b2ppeo97rdjj7pss6bdnfrpvs0@google.com,dharmais@dharmais.co.id,info@sansicomedica.com,
2,PT Samator Indo Gas Tbk,,Penempatan Tangki Oksigen Cair di lingkungan RSUD dr. Soedono Provinsi Jawa Timur,DistributionAgreement_LGL_2882,,100.3.7.1/47.188/102.9/2024,1 Januari 2026,31 Desember 2028,30 September 2028,Berjalan,ju1pqj9c2cdusje487cm6cb9h0@google.com,whanyta.ananto@samator.com, belum ada scan PKS,
3,"Dinas Kesehatan, Pengendalian Penduduk dan Keluarga Berencana Kota Madiun",,(,440/04/401.103/2025,,100.3.7.1/          /102.9/2025,1 Januari 2025,31 Desember 2025,30 September 2025,Tidak Diperpanjang,vs0vjpgh1khj9kr70a0rit0i7k@google.com,dinkes.madiunkota@gmail.com,,
4,PT Nusa Triutama Surabaya,,Penggunaan Alat Kesehatan Hematology Analyser Type Cell Dyn Ruby Merk Abbott-USA di Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur,S-2041/NTU/X/2024,,100.3.7.1/36669/102.9/2024,1 Januari 2025,31 Desember 2025,30 September 2025,Proses Oleh TU,mohkgav7igqvakq3gia4ldn1l0@google.com,nusatriutama@gmail.com,,
5,PT Wynacom Unitama Sejahtera,,Sewa Pakai Laboratory Information System (LIS) di Laboratorium Terpadu RSUD dr. Soedono Provinsi Jawa Timur,C-0488/04-PWUS/2023,,445/18408/102.9/2023,1 Mei 2023,30 April 2026,30 Januari 2026,Berjalan,droflc5g7p503tuse9ej4gqkm4@google.com,marketing@wynacom.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/26-04-2023-1690172543-PKS_Wynacom_LIS_2023.pdf,
6,PT IFORTE SOLUSI INFOTEK,,Penyediaan Jasa Layanan Internet,051.A/BPC15729/ISI-RSUDS/MWIFO/IV/2025,,100.3.7.1/21328/102.9/2025,10 Mei 2025,9 Mei 2026,9 Februari 2026,Berjalan,vl8huotr074leieeik2io6frpc@google.com,lidyawati@iforte.co.id,belum ada scan PKS,
7,Dinas Kependudukan dan Catatan Sipil Kabupaten Madiun,,Penerbitan Dokumen Kependudukan,400.12.1/3585/402.101/2024,,100.3.7.1/19.560/102.9/2024,1 Juli 2024,30 Juni 2026,30 Maret 2026,Berjalan,426fieihp6a2j5v91es22c73e8@google.com,disdukcapilmadiun@gmail.com,belum ada scan PKS,
8,CV Behzad Ortomedika,,Pembuatan Alat Bantu Rehabilitasi Medik,09/BOZ-VIII/2023,,100.3.7.1/34323/102.9/2025,1 September 2023,30/9/2026,30 Juni 2026,Berjalan,9gh9tmg96ql370ua361oeub66g@google.com,amalyaelfatihbaddarodin@gmail.com,belum ada scan PKS,
9,PT Beka Bersama Koewatjie Abadi,,Pengelolaan Limbah Kering Berbahan Kertas,400.7.11.5/35842/102.9/2024,,04/PKS/PTBEKA/I/2024,9 Desember 2024,9 November 2026,9 Agustus 2026,Berjalan,qk98egd6dk93nvsq1f490b7nq4@google.com,pr.ptbeka@gmail.com / eppid@telkom.co.id,belum ada scan PKS,
10,Laboratorium Sarana Medika,,Rujukan Pemeriksaan Laboratorium (Penunjang diagnostic),001/PKS/SM/MDN/I/24,,100.3.7.1/35.587/102.9/2023,1 Januari 2024,31 Desember 2026,30 September 2026,Berjalan,nc2cojia39bm1squmoc7sbbdio@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/11-09-2023-1700208540-scan_PKS_Prodia_2024-2026.pdf,
11,Unit Donor Darah PMI Kota Madiun,,Pelayanan Transfusi Darah di Bank Darah RSUD dr. Soedono Provinsi Jawa Timur,217A/UDD/XI/2024,,100.3.7.1/42575/102.9/2024,1 Januari 2025,31 Desember 2026,30 September 2026,Berjalan,osh5cu2i44thpb1bln5m3cetc4@google.com,tidak ada,belum ada scan PKS,
12,PT. Dexa Arfindo Pratama,,Penempatan Alat Kesehatan Blood Gas Analyser Instrumentation Laboratory Type Gem Premier 3500 dan ILYTE (Elektrolit) di LaboratoriumTerpadu RSUD dr. Soedono Madiun,I.108/DAP-P.MOU.TS/I-25,,100.3.7/44457/102.9/2025,1 Januari 2026,31 Desember 2026,30 September 2026,Berjalan,gv0b07948pfmsvb7o0nak7cgq0@google.com,ahmad.khoirul04@gmail.com,belum ada scan PKS,
13,Andriyanto Law Firm and Partners,,Jasa Konsultasi dan Pelayanan Hukum,07.002/ALFP/III/2026,,100.3.7.1/7970/102.9/2026,2 Maret 2026,31 Desember 2026,30 September 2026,Berjalan,3e6la2hk6u51vj71p956ap9sak@google.com,tidak ada,belum ada scan PKS,
14,Sekolah Luar Biasa B-C Dharma Wanita Kota Madiun,,Pelayanan Penerjemah Bahasa Isyarat,100.3.7.1/25514/102.9/2024,,30/I.04.3/SLB.1/X/2024,1 September 2024,31 Agustus 2027,31 Mei 2027,Berjalan,2gjrrm8sd56mha7cjtgp0m76p4@google.com,slbbc.dwmadiun@gmail.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/19-07-2024-1728262798-PKS_SLB_Dharma_Wanita_Kota_Madiun_ttg_Bahasa_Isyarat.pdf,
15,Kantor Imigrasi Kelas II Non TPI Madiun,,Penyelenggaraan Kegiatan Pelayanan Keimigrasian dan Pelaporan Warga Negara Asing pada RSUD dr. Soedono Provinsi Jawa Timur,W.15.IMI.IMI.7-UM.01.01-2764,,100.3.7.1/33573/102.9/2024,13 September 2024,12 September 2027,12 Juni 2027,Berjalan,sbkil29bbtqd318tokl9dhuaak@google.com,kanim_madiun@imigrasi.go.id,belum ada scan PKS,
